model,assignment,emotion,personality,bleu
qwen2_5_1_5b,shared54,neutral,NNN,6.367065870910698
qwen2_5_1_5b,shared54,sadness,HHH,6.247175066312997
qwen2_5_1_5b,shared54,sadness,HHL,6.544979664014146
qwen2_5_1_5b,shared54,sadness,HLH,6.5496127320954916
qwen2_5_1_5b,shared54,sadness,HLL,6.370836870026525
qwen2_5_1_5b,shared54,sadness,LHH,6.28951282051282
qwen2_5_1_5b,shared54,sadness,LHL,6.3518050397877985
qwen2_5_1_5b,shared54,sadness,LLH,6.609105658709106
qwen2_5_1_5b,shared54,sadness,LLL,6.259544208664899
qwen2_5_1_5b,shared54,sadness,NNN,6.399996463306808
